Date,TCEHY,NPSNY,Tencent_MktCap_USD,Naspers_Lookthrough,Naspers_Tencent_Value_USD,Tencent_NAV_per_NPN_USD,Tencent_NAV_per_NPSNY_USD,Disc_NPSNY,Disc_NPSNY_MA,Disc_NPSNY_SD,Z_NPSNY
2023-01-03,44.58000183105469,7.0279998779296875,410136016845.7031,0.098952,40583779138.916016,64.53650916044315,16.134127290110786,0.5644016096093767,,,
2023-01-04,45.9900016784668,7.380000114440918,423108015441.89453,0.098952,41867384344.00635,66.57770396374498,16.644425990936245,0.556608313290004,,,
2023-01-05,45.06999969482422,7.110000133514404,414643997192.3828,0.098952,41029852810.180664,65.24585753022566,16.311464382556416,0.5641102498977416,,,
2023-01-06,45.61000061035156,7.449999809265137,419612005615.2344,0.098952,41521447179.63867,66.02759312018028,16.50689828004507,0.5486735495140644,,,
2023-01-09,46.369998931884766,7.633999824523926,426603990173.33984,0.098952,42213318035.632324,67.12780928494011,16.78195232123503,0.5451065717268038,,,
2023-01-10,46.939998626708984,7.6579999923706055,431847987365.72266,0.098952,42732222045.81299,67.95297278910238,16.988243197275594,0.5492176616827148,,,
2023-01-11,48.47999954223633,7.8420000076293945,446015995788.5742,0.098952,44134174815.270996,70.18236442458652,17.54559110614663,0.5530501104130849,,,
2023-01-12,46.470001220703125,7.828000068664551,427524011230.46875,0.098952,42304355959.27734,67.2725782029148,16.8181445507287,0.5345503158774207,,,
2023-01-13,47.79999923706055,8.013999938964844,439759992980.95703,0.098952,43515130825.45166,69.19795787183689,17.299489467959223,0.5367493385392814,,,
2023-01-17,47.77000045776367,7.866000175476074,439484004211.4258,0.098952,43487821184.729004,69.15452995762926,17.288632489407316,0.5450189492838404,,,
2023-01-18,47.900001525878906,7.734000205993652,440680014038.08594,0.098952,43606168749.09668,69.34272678981158,17.335681697452895,0.5538681235056365,,,
2023-01-19,49.20000076293945,7.76800012588501,452640007019.04297,0.098952,44789633974.54834,71.22467854452603,17.806169636131507,0.5637467077634417,,,
2023-01-20,50.41999816894531,7.943999767303467,463863983154.2969,0.098952,45900268861.083984,72.99081516486073,18.247703791215184,0.5646575668809426,,,
2023-01-23,51.16999816894531,7.9679999351501465,470763983154.2969,0.098952,46583037661.083984,74.07655719900788,18.51913929975197,0.5697424266765538,,,
2023-01-24,50.88999938964844,8.03600025177002,468187994384.7656,0.098952,46328138420.36133,73.67121527341787,18.417803818354468,0.5636830356634783,,,
2023-01-25,51.099998474121094,7.986000061035156,470119985961.91406,0.098952,46519312850.90332,73.97522171761038,18.493805429402595,0.5681797296115964,,,
2023-01-26,52.34000015258789,8.144000053405762,481528001403.8086,0.098952,47648158794.90967,75.77031764390958,18.942579410977395,0.5700691085034469,,,
2023-01-27,52.54999923706055,8.180000305175781,483459992980.95703,0.098952,47839333225.45166,76.07432408810209,19.018581022025522,0.5698942893950669,,,
2023-01-30,49.0099983215332,7.699999809265137,450891984558.10547,0.098952,44616663655.99365,70.9496203615589,17.737405090389725,0.5658891607861478,,,
2023-01-31,48.75,7.75,448500000000.0,0.098952,44379972000.0,70.57323221956383,17.64330805489096,0.5607399714447769,,,
2023-02-01,49.29999923706055,7.800000190734863,453559992980.95703,0.098952,44880668425.45166,71.36944194013115,17.84236048503279,0.5628381010865711,,,
2023-02-02,48.290000915527344,7.806000232696533,444268008422.85156,0.098952,43961207969.45801,69.90731176398896,17.47682794099724,0.5533514285858949,,,
2023-02-03,48.25,7.739999771118164,443900000000.0,0.098952,43924792800.0,69.84940419679909,17.46235104919977,0.5567607277330016,,,
2023-02-06,47.86000061035156,7.565999984741211,440312005615.2344,0.098952,43569753579.63867,69.2848192226217,17.321204805655427,0.5631943580350203,,,
2023-02-07,48.279998779296875,7.610000133514404,444175988769.53125,0.098952,43952102440.72266,69.89283211100671,17.473208027751678,0.5644760755192816,,,
2023-02-08,48.22999954223633,7.611999988555908,443715995788.5742,0.098952,43906585215.270996,69.82045041320414,17.455112603301036,0.5639100038165117,,,
2023-02-09,50.22999954223633,7.676000118255615,462115995788.5742,0.098952,45727302015.270996,72.71576250426317,18.178940626065792,0.5777531663616626,,,
2023-02-10,48.59000015258789,7.630000114440918,447028001403.8086,0.098952,44234314794.90967,70.3416074731739,17.585401868293474,0.5661173869334297,,,
2023-02-13,49.619998931884766,7.78000020980835,456503990173.33984,0.098952,45171982835.632324,71.83269143291103,17.95817285822776,0.5667710589920151,,,
2023-02-14,48.439998626708984,7.682000160217285,445647987365.72266,0.098952,44097759645.81299,70.12445685739665,17.531114214349163,0.5618076486017305,,,
2023-02-15,48.45000076293945,7.673999786376953,445740007019.04297,0.098952,44106865174.54834,70.1389365103789,17.534734127594724,0.5623543687326149,,,
2023-02-16,48.77000045776367,7.670000076293945,448684004211.4258,0.098952,44398179584.729004,70.60218600315878,17.650546500789694,0.565452544149226,,,
2023-02-17,47.20000076293945,7.480000019073486,434240007019.04297,0.098952,42968917174.54834,68.329366453467,17.08234161336675,0.5621209206341791,,,
2023-02-21,45.599998474121094,7.038000106811523,419519985961.91406,0.098952,41512341650.90332,66.01311346719804,16.50327836679951,0.5735392719927558,,,
2023-02-22,44.779998779296875,7.079999923706055,411975988769.53125,0.098952,40765848040.72266,64.82603595165341,16.206508987913352,0.5631384939849633,,,
2023-02-23,44.54999923706055,7.079999923706055,409859992980.95703,0.098952,40556466025.45166,64.49307572386597,16.123268930966493,0.5608830967206566,,,
2023-02-24,43.599998474121094,6.811999797821045,401119985961.91406,0.098952,39691624850.90332,63.11780137613901,15.779450344034753,0.5682992975483303,,,
2023-02-27,44.61000061035156,6.980000019073486,410412005615.2344,0.098952,40611088779.63867,64.57993707465077,16.144984268662693,0.5676675862347156,,,
